x,y
./adjusted_image/i/8-1517153958-0133.png,8
./adjusted_image/b/1-1517154311-0501.png,1
./adjusted_image/r/17-1517154893-0814.png,17
./adjusted_image/k/10-1517154246-0147.png,10
./adjusted_image/s/18-1517154896-0811.png,18
./adjusted_image/c/2-1517154083-0623.png,2
./adjusted_image/q/16-1517154352-0813.png,16
./adjusted_image/m/12-1517155001-0024.png,12
./adjusted_image/l/11-1517154873-0983.png,11
./adjusted_image/e/4-1517153941-0371.png,4
./adjusted_image/b/1-1517154080-0343.png,1
./adjusted_image/b/1-1517154219-0443.png,1
./adjusted_image/k/10-1517154246-0149.png,10
./adjusted_image/o/14-1517154453-0354.png,14
./adjusted_image/u/20-1517154613-0046.png,20
./adjusted_image/s/18-1517154475-0056.png,18
./adjusted_image/k/10-1517154870-0900.png,10
./adjusted_image/p/15-1517154888-0218.png,15
./adjusted_image/w/22-1517155040-0792.png,22
./adjusted_image/t/19-1517154899-0187.png,19
./adjusted_image/c/2-1517154846-0545.png,2
./adjusted_image/m/12-1517154782-0059.png,12
./adjusted_image/z/25-1517154728-0390.png,25
./adjusted_image/h/7-1517154863-0710.png,7
./adjusted_image/o/14-1517154258-0431.png,14
./adjusted_image/d/3-1517154420-0684.png,3
./adjusted_image/t/19-1517154171-0801.png,19
./adjusted_image/s/18-1517153999-0132.png,18
./adjusted_image/m/12-1517153975-0211.png,12
./adjusted_image/s/18-1517154270-0758.png,18
./adjusted_image/p/15-1517154589-0057.png,15
./adjusted_image/x/23-1517154814-0194.png,23
./adjusted_image/s/18-1517154270-0689.png,18
./adjusted_image/l/11-1517154129-0444.png,11
./adjusted_image/z/25-1517154501-0541.png,25
./adjusted_image/d/3-1517153937-0706.png,3
./adjusted_image/f/5-1517154428-0215.png,5
./adjusted_image/m/12-1517154691-0712.png,12
./adjusted_image/o/14-1517154696-0042.png,14
./adjusted_image/y/24-1517154498-0801.png,24
./adjusted_image/z/25-1517154635-0210.png,25
./adjusted_image/z/25-1517154821-0198.png,25
./adjusted_image/l/11-1517154998-0557.png,11
./adjusted_image/e/4-1517154319-1019.png,4
./adjusted_image/a/0-1517154944-0388.png,0
./adjusted_image/n/13-1517155004-0993.png,13
./adjusted_image/a/0-1517153926-0726.png,0
./adjusted_image/h/7-1517154679-0884.png,7
./adjusted_image/a/0-1517153926-0427.png,0
./adjusted_image/d/3-1517154666-0233.png,3
./adjusted_image/h/7-1517154112-0023.png,7
./adjusted_image/j/9-1517154332-0178.png,9
./adjusted_image/j/9-1517154683-0033.png,9
./adjusted_image/m/12-1517154138-0791.png,12
./adjusted_image/c/2-1517154948-1010.png,2
./adjusted_image/u/20-1517154174-0683.png,20
./adjusted_image/f/5-1517154856-0444.png,5
./adjusted_image/f/5-1517154321-0169.png,5
./adjusted_image/b/1-1517154651-0543.png,1
./adjusted_image/b/1-1517154311-0377.png,1
./adjusted_image/y/24-1517154922-0676.png,24
./adjusted_image/n/13-1517154694-0628.png,13
./adjusted_image/y/24-1517154818-0611.png,24
./adjusted_image/j/9-1517154118-0487.png,9
./adjusted_image/u/20-1517154363-0461.png,20
./adjusted_image/c/2-1517154654-0412.png,2
./adjusted_image/c/2-1517154526-0624.png,2
./adjusted_image/n/13-1517154451-0849.png,13
./adjusted_image/c/2-1517154417-0103.png,2
./adjusted_image/j/9-1517154118-0537.png,9
./adjusted_image/q/16-1517154795-0870.png,16
./adjusted_image/k/10-1517154125-0596.png,10
./adjusted_image/j/9-1517154683-0719.png,9
./adjusted_image/z/25-1517154030-0321.png,25
./adjusted_image/g/6-1517154233-0043.png,6
./adjusted_image/a/0-1517154841-0811.png,0
./adjusted_image/c/2-1517154526-0424.png,2
./adjusted_image/t/19-1517154003-0085.png,19
./adjusted_image/q/16-1517154597-0924.png,16
./adjusted_image/p/15-1517154791-0126.png,15
./adjusted_image/x/23-1517155062-0649.png,23
./adjusted_image/g/6-1517154765-0319.png,6
./adjusted_image/k/10-1517154870-0088.png,10
./adjusted_image/h/7-1517154679-0084.png,7
./adjusted_image/u/20-1517154007-0634.png,20
./adjusted_image/l/11-1517154571-0588.png,11
./adjusted_image/k/10-1517154335-0896.png,10
./adjusted_image/g/6-1517154765-0473.png,6
./adjusted_image/e/4-1517154669-0610.png,4
./adjusted_image/z/25-1517154925-0669.png,25
./adjusted_image/s/18-1517155019-0848.png,18
./adjusted_image/f/5-1517154321-0500.png,5
./adjusted_image/h/7-1517154238-0417.png,7
./adjusted_image/s/18-1517154603-0971.png,18
./adjusted_image/v/21-1517155029-0041.png,21
./adjusted_image/r/17-1517154473-0232.png,17
./adjusted_image/f/5-1517154980-0824.png,5
./adjusted_image/a/0-1517154521-0043.png,0
