x,y
./adjusted_image/v/21-1517155029-0649.png,21
./adjusted_image/k/10-1517154246-0476.png,10
./adjusted_image/z/25-1517154821-0486.png,25
./adjusted_image/e/4-1517154537-0014.png,4
./adjusted_image/y/24-1517154290-0353.png,24
./adjusted_image/r/17-1517153996-0212.png,17
./adjusted_image/t/19-1517155021-0012.png,19
./adjusted_image/p/15-1517153988-0785.png,15
./adjusted_image/d/3-1517154666-0921.png,3
./adjusted_image/t/19-1517154003-0145.png,19
./adjusted_image/z/25-1517154193-0460.png,25
./adjusted_image/y/24-1517154818-0226.png,24
./adjusted_image/t/19-1517154273-0262.png,19
./adjusted_image/p/15-1517154700-0532.png,15
./adjusted_image/k/10-1517154246-0574.png,10
./adjusted_image/f/5-1517154672-0142.png,5
./adjusted_image/t/19-1517154003-0432.png,19
./adjusted_image/g/6-1517154102-0806.png,6
./adjusted_image/l/11-1517154873-0029.png,11
./adjusted_image/h/7-1517154770-0638.png,7
./adjusted_image/i/8-1517154437-0823.png,8
./adjusted_image/l/11-1517154249-0973.png,11
./adjusted_image/k/10-1517154442-1049.png,10
./adjusted_image/m/12-1517154782-0533.png,12
./adjusted_image/o/14-1517154258-0450.png,14
./adjusted_image/x/23-1517154722-0110.png,23
./adjusted_image/w/22-1517154719-0369.png,22
./adjusted_image/e/4-1517153941-1003.png,4
./adjusted_image/l/11-1517154571-0235.png,11
./adjusted_image/v/21-1517154010-0139.png,21
./adjusted_image/t/19-1517154899-0204.png,19
./adjusted_image/q/16-1517154155-0570.png,16
./adjusted_image/b/1-1517154415-0889.png,1
./adjusted_image/z/25-1517154925-0524.png,25
./adjusted_image/n/13-1517155004-0769.png,13
./adjusted_image/r/17-1517153996-0574.png,17
./adjusted_image/z/25-1517154821-0662.png,25
./adjusted_image/e/4-1517154537-0710.png,4
./adjusted_image/x/23-1517154915-0675.png,23
./adjusted_image/y/24-1517154190-0551.png,24
./adjusted_image/p/15-1517154791-0875.png,15
./adjusted_image/t/19-1517154478-0424.png,19
./adjusted_image/u/20-1517154007-0508.png,20
./adjusted_image/v/21-1517154483-0437.png,21
./adjusted_image/i/8-1517154771-0731.png,8
