x,y
./adjusted_points/e/4-1517154227-0598.csv,4
./adjusted_points/m/12-1517154252-1011.csv,12
./adjusted_points/d/3-1517153937-0209.csv,3
./adjusted_points/l/11-1517154444-0157.csv,11
./adjusted_points/m/12-1517154340-0328.csv,12
./adjusted_points/m/12-1517154877-0917.csv,12
./adjusted_points/w/22-1517154368-0693.csv,22
./adjusted_points/m/12-1517154340-0382.csv,12
./adjusted_points/z/25-1517154501-0664.csv,25
./adjusted_points/j/9-1517154564-0022.csv,9
./adjusted_points/z/25-1517154821-0975.csv,25
./adjusted_points/d/3-1517154850-0170.csv,3
./adjusted_points/o/14-1517154346-0971.csv,14
./adjusted_points/d/3-1517153937-0088.csv,3
./adjusted_points/n/13-1517154142-0637.csv,13
./adjusted_points/u/20-1517154007-0962.csv,20
./adjusted_points/b/1-1517154415-0284.csv,1
./adjusted_points/y/24-1517154290-0494.csv,24
./adjusted_points/l/11-1517154571-0232.csv,11
./adjusted_points/b/1-1517154080-0558.csv,1
./adjusted_points/j/9-1517154867-0601.csv,9
./adjusted_points/n/13-1517154142-0851.csv,13
./adjusted_points/h/7-1517154679-0744.csv,7
./adjusted_points/w/22-1517154181-0903.csv,22
./adjusted_points/o/14-1517155008-0612.csv,14
./adjusted_points/z/25-1517154821-0724.csv,25
./adjusted_points/r/17-1517154473-0388.csv,17
./adjusted_points/j/9-1517154242-0563.csv,9
./adjusted_points/i/8-1517154115-0091.csv,8
./adjusted_points/d/3-1517154087-0090.csv,3
./adjusted_points/z/25-1517154635-0696.csv,25
./adjusted_points/i/8-1517154240-0794.csv,8
./adjusted_points/h/7-1517154560-0709.csv,7
./adjusted_points/t/19-1517154273-0835.csv,19
./adjusted_points/f/5-1517154856-0001.csv,5
./adjusted_points/u/20-1517154007-0533.csv,20
./adjusted_points/v/21-1517154177-1029.csv,21
./adjusted_points/s/18-1517154603-0172.csv,18
./adjusted_points/d/3-1517154087-0353.csv,3
./adjusted_points/i/8-1517154771-0781.csv,8
./adjusted_points/x/23-1517155062-0975.csv,23
./adjusted_points/a/0-1517154217-0208.csv,0
./adjusted_points/j/9-1517154332-0528.csv,9
./adjusted_points/u/20-1517154480-0799.csv,20
./adjusted_points/r/17-1517153996-0633.csv,17
./adjusted_points/v/21-1517154808-0233.csv,21
./adjusted_points/k/10-1517154442-0523.csv,10
./adjusted_points/m/12-1517154252-0332.csv,12
./adjusted_points/q/16-1517154155-0523.csv,16
./adjusted_points/y/24-1517154027-0505.csv,24
./adjusted_points/l/11-1517154444-0705.csv,11
./adjusted_points/i/8-1517154865-0170.csv,8
./adjusted_points/s/18-1517154270-0844.csv,18
./adjusted_points/n/13-1517154881-0580.csv,13
./adjusted_points/x/23-1517154372-0221.csv,23
