x,y
./points/q/16-1517154352-0807.csv,16
./points/d/3-1517154850-0016.csv,3
./points/i/8-1517153958-0305.csv,8
./points/z/25-1517154382-0193.csv,25
./points/l/11-1517154444-0551.csv,11
./points/r/17-1517155016-0148.csv,17
./points/n/13-1517154786-0442.csv,13
./points/d/3-1517154225-0913.csv,3
./points/q/16-1517154465-0689.csv,16
./points/n/13-1517154694-0373.csv,13
./points/f/5-1517154098-0865.csv,5
./points/q/16-1517154264-0119.csv,16
./points/n/13-1517154881-0732.csv,13
./points/r/17-1517154600-0254.csv,17
./points/h/7-1517154435-0368.csv,7
./points/b/1-1517154651-0924.csv,1
./points/l/11-1517154780-0025.csv,11
./points/y/24-1517154922-0959.csv,24
./points/s/18-1517153999-0678.csv,18
./points/n/13-1517154694-0947.csv,13
./points/i/8-1517153958-0524.csv,8
./points/v/21-1517154365-1023.csv,21
./points/c/2-1517154948-0031.csv,2
./points/a/0-1517154747-0523.csv,0
./points/i/8-1517154990-0159.csv,8
./points/l/11-1517154571-0678.csv,11
./points/x/23-1517154814-0912.csv,23
./points/a/0-1517154074-0098.csv,0
./points/w/22-1517154181-0779.csv,22
./points/b/1-1517154415-0512.csv,1
./points/y/24-1517154632-0596.csv,24
./points/u/20-1517154480-0361.csv,20
./points/a/0-1517154411-0293.csv,0
./points/o/14-1517154453-0050.csv,14
./points/n/13-1517154694-0448.csv,13
./points/h/7-1517154112-0492.csv,7
./points/l/11-1517154780-0422.csv,11
./points/k/10-1517154686-0778.csv,10
./points/c/2-1517154754-0417.csv,2
./points/r/17-1517154893-0621.csv,17
./points/g/6-1517154765-0503.csv,6
./points/n/13-1517154343-0677.csv,13
./points/u/20-1517154363-0648.csv,20
./points/z/25-1517154925-0573.csv,25
./points/u/20-1517154480-0152.csv,20
./points/k/10-1517154125-0538.csv,10
./points/c/2-1517154654-0825.csv,2
./points/j/9-1517154332-0535.csv,9
./points/s/18-1517154357-0128.csv,18
./points/g/6-1517154765-0998.csv,6
./points/s/18-1517154357-0125.csv,18
./points/v/21-1517154010-0319.csv,21
./points/a/0-1517154747-0557.csv,0
./points/i/8-1517154681-0003.csv,8
./points/s/18-1517154357-0124.csv,18
./points/h/7-1517154679-0530.csv,7
./points/p/15-1517154151-0470.csv,15
./points/h/7-1517154679-0643.csv,7
./points/p/15-1517153988-0666.csv,15
./points/f/5-1517153945-0549.csv,5
./points/g/6-1517154233-0142.csv,6
./points/g/6-1517154324-0717.csv,6
./points/n/13-1517154451-0010.csv,13
./points/f/5-1517154980-0599.csv,5
./points/q/16-1517154465-0944.csv,16
./points/v/21-1517154010-0427.csv,21
./points/n/13-1517154343-0193.csv,13
./points/e/4-1517154854-0968.csv,4
./points/e/4-1517154319-0652.csv,4
./points/y/24-1517155066-0708.csv,24
./points/k/10-1517154335-0402.csv,10
./points/t/19-1517154478-0102.csv,19
./points/x/23-1517154722-0708.csv,23
./points/q/16-1517154465-0598.csv,16
./points/v/21-1517154010-0033.csv,21
./points/g/6-1517154860-0731.csv,6
./points/l/11-1517153971-0079.csv,11
./points/w/22-1517154619-0559.csv,22
./points/x/23-1517154372-1006.csv,23
./points/z/25-1517154030-0613.csv,25
./points/e/4-1517154759-0403.csv,4
./points/l/11-1517154444-0111.csv,11
./points/j/9-1517154439-0033.csv,9
./points/d/3-1517154317-0485.csv,3
./points/a/0-1517154521-0881.csv,0
./points/x/23-1517154722-0900.csv,23
./points/d/3-1517154225-0656.csv,3
./points/v/21-1517154365-0156.csv,21
./points/b/1-1517154947-0578.csv,1
./points/z/25-1517154925-0832.csv,25
./points/d/3-1517154757-0571.csv,3
./points/h/7-1517154987-0539.csv,7
./points/u/20-1517154174-0338.csv,20
./points/t/19-1517154359-1003.csv,19
./points/l/11-1517154780-0558.csv,11
./points/y/24-1517154027-0359.csv,24
./points/q/16-1517154597-0207.csv,16
./points/c/2-1517153933-0727.csv,2
./points/u/20-1517154363-0841.csv,20
./points/w/22-1517154282-0129.csv,22
./points/e/4-1517154854-0092.csv,4
./points/n/13-1517155004-0522.csv,13
./points/e/4-1517154759-0662.csv,4
./points/u/20-1517155027-0629.csv,20
./points/b/1-1517154219-0853.csv,1
./points/w/22-1517154811-0981.csv,22
./points/w/22-1517154619-0467.csv,22
./points/c/2-1517154948-0612.csv,2
./points/q/16-1517153993-0756.csv,16
./points/z/25-1517155069-0981.csv,25
./points/g/6-1517154983-0312.csv,6
./points/y/24-1517154818-0955.csv,24
./points/v/21-1517154010-0451.csv,21
./points/l/11-1517154873-0539.csv,11
./points/m/12-1517154877-0682.csv,12
./points/p/15-1517154151-0928.csv,15
./points/d/3-1517154757-0887.csv,3
./points/a/0-1517154841-0065.csv,0
./points/s/18-1517154708-0874.csv,18
./points/f/5-1517154762-0726.csv,5
./points/s/18-1517153999-0859.csv,18
./points/d/3-1517154317-0101.csv,3
./points/v/21-1517154616-0646.csv,21
./points/p/15-1517154349-0994.csv,15
./points/e/4-1517154422-0529.csv,4
./points/k/10-1517154777-0025.csv,10
./points/n/13-1517154579-0696.csv,13
./points/z/25-1517154382-0524.csv,25
./points/i/8-1517154681-1031.csv,8
./points/s/18-1517154708-1004.csv,18
./points/e/4-1517154759-0252.csv,4
./points/a/0-1517154521-0155.csv,0
./points/e/4-1517154977-0507.csv,4
./points/y/24-1517154498-0704.csv,24
./points/c/2-1517154846-0051.csv,2
./points/v/21-1517154365-0666.csv,21
./points/s/18-1517154162-0337.csv,18
./points/u/20-1517154480-0310.csv,20
./points/x/23-1517154494-0004.csv,23
./points/s/18-1517154708-0611.csv,18
./points/n/13-1517154694-0000.csv,13
./points/t/19-1517154611-0288.csv,19
./points/g/6-1517154102-0204.csv,6
./points/y/24-1517154632-0736.csv,24
./points/s/18-1517154475-0028.csv,18
./points/h/7-1517154863-0771.csv,7
./points/e/4-1517154977-0466.csv,4
./points/z/25-1517154030-0362.csv,25
./points/z/25-1517155069-0357.csv,25
./points/j/9-1517154332-0852.csv,9
./points/b/1-1517154219-0901.csv,1
./points/r/17-1517154600-0913.csv,17
./points/g/6-1517154983-0108.csv,6
./points/s/18-1517154603-0401.csv,18
./points/i/8-1517154681-0841.csv,8
./points/c/2-1517154526-0246.csv,2
./points/j/9-1517154774-0429.csv,9
./points/x/23-1517155062-0043.csv,23
./points/g/6-1517154765-0386.csv,6
./points/o/14-1517154788-0516.csv,14
./points/b/1-1517154947-0459.csv,1
./points/j/9-1517154242-0430.csv,9
./points/r/17-1517154354-0791.csv,17
./points/z/25-1517154635-0890.csv,25
./points/c/2-1517154846-0730.csv,2
./points/n/13-1517154255-0352.csv,13
./points/m/12-1517153975-0555.csv,12
./points/m/12-1517155001-0589.csv,12
./points/j/9-1517154992-0520.csv,9
./points/c/2-1517154754-0664.csv,2
./points/p/15-1517154349-0671.csv,15
./points/r/17-1517154705-0539.csv,17
./points/z/25-1517154030-0780.csv,25
./points/e/4-1517154227-0423.csv,4
./points/h/7-1517154435-0789.csv,7
./points/o/14-1517154453-0953.csv,14
./points/z/25-1517154635-0975.csv,25
./points/k/10-1517154870-1045.csv,10
./points/w/22-1517154015-1025.csv,22
./points/g/6-1517154860-0777.csv,6
./points/b/1-1517154751-0202.csv,1
./points/u/20-1517154613-0115.csv,20
./points/b/1-1517154080-0230.csv,1
./points/e/4-1517154091-0887.csv,4
./points/z/25-1517154382-0787.csv,25
./points/l/11-1517154873-0379.csv,11
./points/w/22-1517154015-0126.csv,22
./points/k/10-1517154442-0037.csv,10
./points/t/19-1517154359-0859.csv,19
./points/a/0-1517154217-1053.csv,0
./points/o/14-1517154146-0789.csv,14
./points/b/1-1517154651-0830.csv,1
./points/o/14-1517154453-0501.csv,14
./points/f/5-1517153945-0770.csv,5
./points/x/23-1517154722-0416.csv,23
./points/p/15-1517154151-0086.csv,15
./points/a/0-1517154217-0302.csv,0
./points/o/14-1517154146-0741.csv,14
./points/i/8-1517154865-0428.csv,8
./points/d/3-1517154969-0797.csv,3
./points/b/1-1517154651-0671.csv,1
./points/o/14-1517155008-0213.csv,14
./points/e/4-1517154227-0749.csv,4
./points/n/13-1517155004-0435.csv,13
./points/m/12-1517154782-0181.csv,12
./points/o/14-1517154696-0185.csv,14
./points/c/2-1517154417-1028.csv,2
./points/r/17-1517154354-0931.csv,17
./points/n/13-1517155004-0344.csv,13
./points/x/23-1517154286-0909.csv,23
./points/m/12-1517155001-0163.csv,12
./points/y/24-1517155066-0204.csv,24
./points/a/0-1517154217-0776.csv,0
./points/b/1-1517154524-0555.csv,1
./points/i/8-1517154990-0962.csv,8
./points/m/12-1517154691-0974.csv,12
./points/o/14-1517154146-0251.csv,14
./points/f/5-1517154762-0428.csv,5
./points/d/3-1517154969-0497.csv,3
./points/v/21-1517154278-0485.csv,21
./points/p/15-1517154700-0610.csv,15
./points/x/23-1517154814-0172.csv,23
./points/k/10-1517154686-0112.csv,10
./points/w/22-1517154015-0668.csv,22
./points/b/1-1517154947-0079.csv,1
./points/g/6-1517154233-0630.csv,6
./points/z/25-1517154728-0607.csv,25
./points/x/23-1517154814-0992.csv,23
./points/l/11-1517154129-0526.csv,11
./points/a/0-1517154217-0599.csv,0
./points/h/7-1517154328-0732.csv,7
./points/y/24-1517154725-0084.csv,24
./points/l/11-1517154337-0645.csv,11
./points/g/6-1517154675-0226.csv,6
./points/z/25-1517154501-0163.csv,25
./points/h/7-1517154987-0291.csv,7
./points/j/9-1517153961-0613.csv,9
./points/t/19-1517154611-0510.csv,19
./points/f/5-1517154980-0181.csv,5
./points/s/18-1517154896-0312.csv,18
./points/k/10-1517154246-0003.csv,10
./points/n/13-1517154142-0335.csv,13
./points/y/24-1517154818-0917.csv,24
./points/w/22-1517154719-0807.csv,22
./points/v/21-1517154616-0340.csv,21
./points/n/13-1517154142-0351.csv,13
./points/g/6-1517154556-0748.csv,6
./points/s/18-1517155019-0056.csv,18
./points/f/5-1517154321-0167.csv,5
./points/g/6-1517154675-0687.csv,6
./points/n/13-1517154881-0663.csv,13
./points/q/16-1517154155-0484.csv,16
./points/j/9-1517154683-0857.csv,9
./points/h/7-1517154770-0759.csv,7
./points/q/16-1517154795-0414.csv,16
./points/m/12-1517153975-0691.csv,12
./points/g/6-1517154556-0577.csv,6
./points/b/1-1517154844-0405.csv,1
./points/f/5-1517154543-0905.csv,5
./points/z/25-1517154925-0000.csv,25
./points/j/9-1517154242-0747.csv,9
./points/n/13-1517155004-0145.csv,13
./points/v/21-1517154483-0520.csv,21
./points/o/14-1517154146-0257.csv,14
./points/r/17-1517154705-0583.csv,17
./points/q/16-1517154597-1037.csv,16
./points/c/2-1517154313-0184.csv,2
./points/o/14-1517155008-0580.csv,14
./points/s/18-1517154162-0406.csv,18
./points/e/4-1517153941-0790.csv,4
./points/z/25-1517154382-0208.csv,25
./points/c/2-1517154083-0928.csv,2
./points/q/16-1517154155-0961.csv,16
./points/a/0-1517153926-0203.csv,0
./points/x/23-1517154722-0031.csv,23
./points/v/21-1517154808-0598.csv,21
./points/l/11-1517153971-0843.csv,11
./points/j/9-1517154992-0935.csv,9
./points/v/21-1517154177-0941.csv,21
./points/w/22-1517154282-0646.csv,22
./points/e/4-1517154669-0104.csv,4
./points/k/10-1517154686-0914.csv,10
./points/h/7-1517154328-0861.csv,7
./points/j/9-1517154242-1052.csv,9
./points/c/2-1517154313-0867.csv,2
./points/j/9-1517154774-0914.csv,9
./points/r/17-1517154600-0022.csv,17
./points/e/4-1517154091-0863.csv,4
./points/j/9-1517154683-0318.csv,9
./points/i/8-1517154437-0924.csv,8
./points/g/6-1517154431-0911.csv,6
./points/k/10-1517153967-0607.csv,10
./points/k/10-1517154125-0127.csv,10
./points/q/16-1517154597-0366.csv,16
./points/f/5-1517154230-0525.csv,5
./points/p/15-1517154791-0975.csv,15
./points/g/6-1517154983-0993.csv,6
./points/g/6-1517153949-0809.csv,6
./points/t/19-1517154803-0463.csv,19
./points/r/17-1517154267-0707.csv,17
./points/u/20-1517154613-0207.csv,20
./points/d/3-1517154087-0124.csv,3
./points/v/21-1517154365-0968.csv,21
./points/u/20-1517154806-0960.csv,20
./points/j/9-1517154992-0707.csv,9
./points/n/13-1517154694-0332.csv,13
./points/z/25-1517154193-0226.csv,25
./points/p/15-1517154462-0471.csv,15
./points/k/10-1517154686-0278.csv,10
./points/t/19-1517154359-0876.csv,19
./points/h/7-1517154987-0628.csv,7
./points/z/25-1517154030-0848.csv,25
./points/d/3-1517154535-0213.csv,3
./points/g/6-1517154983-0839.csv,6
./points/q/16-1517153993-1019.csv,16
./points/s/18-1517154270-0317.csv,18
./points/f/5-1517154321-0493.csv,5
./points/i/8-1517154681-0702.csv,8
./points/c/2-1517154417-0665.csv,2
./points/j/9-1517154774-0630.csv,9
./points/t/19-1517154478-0121.csv,19
./points/z/25-1517154382-0056.csv,25
./points/t/19-1517154478-0768.csv,19
./points/c/2-1517154417-0749.csv,2
./points/c/2-1517154526-0802.csv,2
./points/r/17-1517154267-0541.csv,17
./points/z/25-1517154821-0038.csv,25
./points/z/25-1517154821-0924.csv,25
./points/h/7-1517154987-0011.csv,7
./points/e/4-1517154422-0715.csv,4
./points/w/22-1517154719-0977.csv,22
./points/t/19-1517154478-0881.csv,19
./points/b/1-1517154947-0145.csv,1
./points/p/15-1517154589-0977.csv,15
./points/x/23-1517154494-0900.csv,23
./points/p/15-1517155011-0840.csv,15
./points/k/10-1517154995-0975.csv,10
./points/p/15-1517153988-1049.csv,15
./points/s/18-1517154603-0642.csv,18
./points/p/15-1517154261-0584.csv,15
./points/x/23-1517154372-0219.csv,23
./points/s/18-1517154357-1056.csv,18
./points/j/9-1517154332-0920.csv,9
./points/q/16-1517154155-0873.csv,16
./points/j/9-1517154564-0849.csv,9
./points/s/18-1517154896-0184.csv,18
./points/d/3-1517154969-0718.csv,3
./points/w/22-1517154282-0351.csv,22
./points/z/25-1517154635-0317.csv,25
./points/v/21-1517154010-0400.csv,21
./points/o/14-1517154885-0836.csv,14
./points/i/8-1517153958-0318.csv,8
./points/u/20-1517154902-0713.csv,20
./points/e/4-1517154759-0453.csv,4
./points/q/16-1517154155-0756.csv,16
./points/y/24-1517154379-0721.csv,24
./points/h/7-1517154328-0404.csv,7
./points/v/21-1517154616-0828.csv,21
./points/t/19-1517154478-0398.csv,19
./points/y/24-1517154922-0328.csv,24
./points/w/22-1517155040-0674.csv,22
./points/e/4-1517154537-0505.csv,4
./points/z/25-1517154925-0917.csv,25
./points/k/10-1517154777-0939.csv,10
./points/c/2-1517154313-0879.csv,2
./points/x/23-1517154186-0775.csv,23
./points/x/23-1517154020-0527.csv,23
./points/g/6-1517154556-0435.csv,6
./points/b/1-1517154844-0332.csv,1
./points/g/6-1517154860-0905.csv,6
./points/f/5-1517154672-0605.csv,5
./points/n/13-1517154694-0255.csv,13
./points/u/20-1517154902-0839.csv,20
./points/x/23-1517154915-0642.csv,23
./points/p/15-1517154151-0119.csv,15
./points/x/23-1517155062-0045.csv,23
./points/l/11-1517154873-0979.csv,11
./points/a/0-1517154841-0930.csv,0
./points/a/0-1517154649-0422.csv,0
./points/v/21-1517154808-0900.csv,21
./points/g/6-1517154675-0751.csv,6
./points/x/23-1517155062-0737.csv,23
./points/b/1-1517154651-0005.csv,1
./points/c/2-1517154846-0938.csv,2
./points/l/11-1517154129-0752.csv,11
./points/j/9-1517154118-0338.csv,9
./points/n/13-1517154451-0738.csv,13
./points/l/11-1517154688-0096.csv,11
./points/r/17-1517154600-0279.csv,17
./points/l/11-1517154249-0584.csv,11
./points/f/5-1517154543-0405.csv,5
./points/i/8-1517154115-0825.csv,8
./points/g/6-1517154765-0889.csv,6
./points/b/1-1517154080-0535.csv,1
./points/j/9-1517154332-0209.csv,9
./points/y/24-1517154498-0433.csv,24
./points/g/6-1517154233-0114.csv,6
./points/c/2-1517154417-0336.csv,2
./points/h/7-1517154328-0196.csv,7
./points/h/7-1517154112-0262.csv,7
./points/j/9-1517154439-0388.csv,9
./points/e/4-1517154854-0939.csv,4
./points/c/2-1517154222-0243.csv,2
./points/f/5-1517154980-0456.csv,5
./points/e/4-1517153941-0004.csv,4
./points/f/5-1517154762-0314.csv,5
./points/p/15-1517154791-0443.csv,15
./points/x/23-1517154494-0048.csv,23
./points/f/5-1517154856-0002.csv,5
./points/z/25-1517155069-1024.csv,25
./points/v/21-1517154808-0253.csv,21
./points/c/2-1517154526-0706.csv,2
./points/g/6-1517154675-0055.csv,6
./points/c/2-1517154417-0817.csv,2
./points/l/11-1517154873-0922.csv,11
./points/r/17-1517154267-0201.csv,17
./points/z/25-1517154821-0455.csv,25
./points/c/2-1517154948-0073.csv,2
./points/y/24-1517154632-0053.csv,24
./points/y/24-1517154922-0434.csv,24
./points/u/20-1517154902-0369.csv,20
./points/u/20-1517154806-0662.csv,20
./points/k/10-1517154686-0997.csv,10
./points/s/18-1517154800-0075.csv,18
./points/l/11-1517154444-0004.csv,11
./points/g/6-1517154556-0425.csv,6
./points/e/4-1517154227-0575.csv,4
./points/e/4-1517154669-0512.csv,4
./points/m/12-1517154447-0868.csv,12
./points/u/20-1517154007-0783.csv,20
./points/z/25-1517154925-0017.csv,25
./points/p/15-1517154791-0002.csv,15
./points/o/14-1517153984-0518.csv,14
./points/a/0-1517154308-0381.csv,0
./points/d/3-1517154087-0188.csv,3
./points/u/20-1517154902-0313.csv,20
./points/e/4-1517154537-0850.csv,4
./points/q/16-1517155014-0988.csv,16
./points/b/1-1517153930-1045.csv,1
./points/h/7-1517154679-0750.csv,7
./points/d/3-1517153937-0796.csv,3
./points/s/18-1517154475-0283.csv,18
./points/i/8-1517153958-0549.csv,8
./points/t/19-1517154003-0085.csv,19
./points/s/18-1517154708-0741.csv,18
./points/w/22-1517154912-0271.csv,22
./points/j/9-1517154564-0638.csv,9
./points/l/11-1517153971-0136.csv,11
./points/l/11-1517154998-0707.csv,11
./points/t/19-1517154273-0718.csv,19
./points/f/5-1517154098-0439.csv,5
./points/t/19-1517154711-0816.csv,19
./points/b/1-1517153930-0761.csv,1
./points/c/2-1517154654-0246.csv,2
./points/v/21-1517154483-0633.csv,21
./points/b/1-1517154751-0541.csv,1
./points/t/19-1517154899-0430.csv,19
./points/m/12-1517154340-0204.csv,12
./points/i/8-1517154990-0309.csv,8
./points/o/14-1517154146-0328.csv,14
./points/c/2-1517154083-0266.csv,2
./points/q/16-1517154891-0502.csv,16
./points/u/20-1517154613-0632.csv,20
./points/e/4-1517154854-0488.csv,4
./points/b/1-1517153930-0554.csv,1
./points/x/23-1517154494-0924.csv,23
./points/q/16-1517155014-0998.csv,16
./points/f/5-1517154230-0057.csv,5
./points/i/8-1517154681-0512.csv,8
./points/r/17-1517155016-0513.csv,17
./points/l/11-1517154249-0948.csv,11
./points/x/23-1517154814-0264.csv,23
./points/b/1-1517154947-1042.csv,1
./points/r/17-1517154893-0330.csv,17
./points/o/14-1517154258-0797.csv,14
./points/l/11-1517154571-0355.csv,11
./points/e/4-1517154977-0421.csv,4
./points/r/17-1517155016-0442.csv,17
./points/b/1-1517154080-0822.csv,1
./points/s/18-1517154357-0321.csv,18
./points/c/2-1517154083-0850.csv,2
./points/u/20-1517154713-0161.csv,20
./points/l/11-1517154249-0475.csv,11
./points/g/6-1517154324-0252.csv,6
./points/v/21-1517154616-0177.csv,21
./points/l/11-1517154688-0766.csv,11
./points/w/22-1517154282-0453.csv,22
./points/d/3-1517154850-0957.csv,3
./points/u/20-1517154713-0028.csv,20
./points/z/25-1517154501-0255.csv,25
./points/s/18-1517154708-0168.csv,18
./points/j/9-1517154439-0653.csv,9
./points/h/7-1517154770-0561.csv,7
./points/c/2-1517154846-0055.csv,2
./points/l/11-1517154873-0338.csv,11
./points/e/4-1517154537-0670.csv,4
./points/d/3-1517154225-0541.csv,3
./points/f/5-1517154098-0423.csv,5
./points/s/18-1517154270-0013.csv,18
./points/u/20-1517154275-0763.csv,20
./points/k/10-1517154442-0685.csv,10
./points/y/24-1517154498-0225.csv,24
./points/g/6-1517154431-0099.csv,6
./points/q/16-1517154465-0083.csv,16
./points/s/18-1517153999-0717.csv,18
./points/o/14-1517153984-0809.csv,14
./points/c/2-1517154222-0225.csv,2
./points/u/20-1517154480-0161.csv,20
./points/t/19-1517154273-0390.csv,19
./points/v/21-1517154808-0999.csv,21
./points/d/3-1517154420-0983.csv,3
./points/i/8-1517154240-0212.csv,8
./points/r/17-1517154600-0056.csv,17
./points/k/10-1517154777-0051.csv,10
./points/d/3-1517154087-0782.csv,3
./points/c/2-1517153933-0506.csv,2
./points/r/17-1517154354-0702.csv,17
./points/t/19-1517154359-0099.csv,19
