x,y
./points/k/10-1517154568-0753.csv,10
./points/u/20-1517155027-0681.csv,20
./points/v/21-1517154365-0091.csv,21
./points/i/8-1517154437-0916.csv,8
./points/l/11-1517154998-0092.csv,11
./points/l/11-1517154444-0085.csv,11
./points/e/4-1517154759-0205.csv,4
./points/o/14-1517154346-0635.csv,14
./points/p/15-1517154349-0907.csv,15
./points/q/16-1517154703-0059.csv,16
./points/s/18-1517154896-0246.csv,18
./points/y/24-1517154922-0786.csv,24
./points/h/7-1517154987-0931.csv,7
./points/j/9-1517154242-0264.csv,9
./points/y/24-1517154190-0948.csv,24
./points/c/2-1517154948-0649.csv,2
./points/y/24-1517154632-0319.csv,24
./points/v/21-1517154177-0634.csv,21
./points/q/16-1517154465-0909.csv,16
./points/r/17-1517154473-0251.csv,17
./points/h/7-1517154328-0501.csv,7
./points/b/1-1517154524-0390.csv,1
./points/s/18-1517154603-1007.csv,18
./points/c/2-1517154417-0817.csv,2
./points/k/10-1517154246-0760.csv,10
./points/m/12-1517154252-0338.csv,12
./points/n/13-1517154694-0059.csv,13
./points/y/24-1517154379-0642.csv,24
./points/v/21-1517154278-0934.csv,21
./points/h/7-1517154863-0808.csv,7
./points/w/22-1517154487-0734.csv,22
./points/r/17-1517154267-0299.csv,17
./points/m/12-1517154877-0374.csv,12
./points/i/8-1517154990-0026.csv,8
./points/p/15-1517154791-0743.csv,15
./points/p/15-1517153988-0755.csv,15
./points/c/2-1517154083-0774.csv,2
./points/c/2-1517154417-0230.csv,2
./points/z/25-1517154925-0986.csv,25
./points/l/11-1517154249-0432.csv,11
./points/b/1-1517154080-0141.csv,1
./points/p/15-1517154888-0004.csv,15
./points/a/0-1517153926-0373.csv,0
./points/s/18-1517153999-0413.csv,18
./points/p/15-1517154462-0969.csv,15
./points/k/10-1517154568-0812.csv,10
./points/w/22-1517154181-0743.csv,22
./points/k/10-1517154335-0311.csv,10
./points/v/21-1517154808-0482.csv,21
./points/d/3-1517154757-0654.csv,3
./points/a/0-1517154747-0908.csv,0
./points/g/6-1517154765-0403.csv,6
./points/b/1-1517154651-0643.csv,1
./points/r/17-1517154267-0602.csv,17
./points/u/20-1517154480-0413.csv,20
./points/m/12-1517154782-0862.csv,12
./points/y/24-1517154922-0450.csv,24
./points/u/20-1517154007-0388.csv,20
./points/h/7-1517154679-1024.csv,7
./points/j/9-1517154242-0796.csv,9
./points/z/25-1517154821-0696.csv,25
./points/e/4-1517154537-0178.csv,4
./points/p/15-1517154888-0735.csv,15
./points/k/10-1517154686-0082.csv,10
./points/r/17-1517154354-0749.csv,17
./points/y/24-1517155066-0310.csv,24
./points/z/25-1517154193-0861.csv,25
./points/p/15-1517154791-0363.csv,15
./points/u/20-1517154275-0085.csv,20
./points/i/8-1517154330-0073.csv,8
./points/z/25-1517154925-0328.csv,25
./points/k/10-1517154568-0279.csv,10
./points/j/9-1517153961-0478.csv,9
./points/j/9-1517154564-0955.csv,9
./points/f/5-1517154428-0925.csv,5
./points/i/8-1517154240-0878.csv,8
./points/i/8-1517154115-0241.csv,8
./points/b/1-1517154311-0497.csv,1
./points/g/6-1517154983-0064.csv,6
./points/f/5-1517154428-0441.csv,5
./points/z/25-1517154382-0156.csv,25
./points/d/3-1517154535-0765.csv,3
./points/c/2-1517154754-0932.csv,2
./points/j/9-1517154992-0993.csv,9
./points/e/4-1517154759-0957.csv,4
./points/g/6-1517154860-0722.csv,6
./points/r/17-1517154158-0449.csv,17
./points/r/17-1517154893-0952.csv,17
./points/c/2-1517154654-0516.csv,2
./points/s/18-1517154800-0053.csv,18
./points/s/18-1517154357-0118.csv,18
./points/j/9-1517154683-0356.csv,9
./points/s/18-1517154162-0875.csv,18
./points/j/9-1517154439-0757.csv,9
./points/q/16-1517154465-0530.csv,16
./points/h/7-1517153954-0886.csv,7
./points/r/17-1517154600-0213.csv,17
./points/q/16-1517154795-0618.csv,16
./points/n/13-1517154255-0648.csv,13
./points/p/15-1517154791-0880.csv,15
./points/o/14-1517154146-0274.csv,14
./points/f/5-1517154428-0204.csv,5
./points/q/16-1517154891-0874.csv,16
./points/o/14-1517154346-0318.csv,14
./points/f/5-1517154230-0940.csv,5
./points/d/3-1517154969-0354.csv,3
./points/p/15-1517154700-1012.csv,15
./points/i/8-1517154681-0410.csv,8
./points/r/17-1517154600-0818.csv,17
./points/e/4-1517154227-0194.csv,4
./points/y/24-1517154027-0332.csv,24
./points/o/14-1517154696-0173.csv,14
./points/g/6-1517154675-0272.csv,6
./points/j/9-1517154867-0582.csv,9
./points/a/0-1517154411-0335.csv,0
./points/q/16-1517154465-0640.csv,16
./points/c/2-1517154313-0490.csv,2
./points/x/23-1517154286-0554.csv,23
./points/o/14-1517154146-0567.csv,14
./points/k/10-1517154870-0452.csv,10
./points/k/10-1517153967-0924.csv,10
./points/l/11-1517154337-0587.csv,11
./points/n/13-1517154786-0998.csv,13
./points/c/2-1517154222-0232.csv,2
./points/o/14-1517155008-0391.csv,14
./points/l/11-1517154444-0218.csv,11
./points/l/11-1517154129-0968.csv,11
./points/j/9-1517154564-0265.csv,9
./points/f/5-1517154856-0129.csv,5
./points/u/20-1517154480-0197.csv,20
./points/i/8-1517154437-0341.csv,8
./points/t/19-1517154803-0260.csv,19
./points/t/19-1517154611-0429.csv,19
./points/l/11-1517153971-0540.csv,11
./points/z/25-1517154821-0950.csv,25
./points/p/15-1517154700-0761.csv,15
./points/u/20-1517154480-0441.csv,20
./points/w/22-1517154282-0062.csv,22
./points/u/20-1517154363-0238.csv,20
./points/i/8-1517154115-0142.csv,8
./points/a/0-1517154521-0016.csv,0
./points/x/23-1517154286-0535.csv,23
./points/w/22-1517154811-0068.csv,22
./points/l/11-1517154998-0621.csv,11
./points/e/4-1517154759-0662.csv,4
./points/a/0-1517153926-1050.csv,0
./points/u/20-1517154007-0507.csv,20
./points/k/10-1517154686-0429.csv,10
./points/a/0-1517154411-0103.csv,0
./points/s/18-1517155019-0189.csv,18
./points/m/12-1517154138-0176.csv,12
./points/i/8-1517154240-0128.csv,8
./points/z/25-1517155069-0293.csv,25
./points/c/2-1517154083-0521.csv,2
./points/p/15-1517154151-0044.csv,15
./points/y/24-1517154725-0853.csv,24
./points/x/23-1517154814-0923.csv,23
./points/s/18-1517154357-0590.csv,18
./points/u/20-1517154806-0687.csv,20
./points/b/1-1517154080-0952.csv,1
./points/t/19-1517154359-0028.csv,19
./points/d/3-1517154535-0318.csv,3
./points/b/1-1517154219-0373.csv,1
./points/b/1-1517154219-0832.csv,1
./points/z/25-1517154382-0274.csv,25
./points/a/0-1517154944-0813.csv,0
./points/e/4-1517154227-0501.csv,4
./points/s/18-1517154162-0289.csv,18
./points/e/4-1517154854-0859.csv,4
./points/t/19-1517154611-0940.csv,19
./points/b/1-1517153930-0378.csv,1
./points/p/15-1517154261-0428.csv,15
./points/r/17-1517154893-0033.csv,17
./points/t/19-1517154611-0740.csv,19
./points/v/21-1517154365-0966.csv,21
./points/x/23-1517154915-0181.csv,23
./points/l/11-1517154780-0179.csv,11
./points/r/17-1517154893-0805.csv,17
./points/b/1-1517154219-0381.csv,1
./points/h/7-1517153954-0845.csv,7
./points/y/24-1517154818-0237.csv,24
./points/e/4-1517154669-0018.csv,4
./points/p/15-1517154888-0439.csv,15
./points/s/18-1517153999-0394.csv,18
./points/c/2-1517154526-0375.csv,2
./points/y/24-1517154632-0427.csv,24
./points/e/4-1517154977-0003.csv,4
./points/j/9-1517154774-0075.csv,9
./points/e/4-1517154227-0986.csv,4
./points/f/5-1517154230-0069.csv,5
./points/d/3-1517154757-0047.csv,3
./points/i/8-1517154330-0922.csv,8
./points/o/14-1517153984-0948.csv,14
./points/h/7-1517154238-0651.csv,7
./points/l/11-1517154249-0480.csv,11
./points/k/10-1517154870-0774.csv,10
./points/x/23-1517155062-0342.csv,23
./points/h/7-1517154112-0342.csv,7
./points/b/1-1517154415-0737.csv,1
./points/u/20-1517154902-0550.csv,20
./points/n/13-1517154451-0546.csv,13
./points/a/0-1517154944-0979.csv,0
./points/o/14-1517154696-0110.csv,14
./points/w/22-1517154015-0067.csv,22
./points/p/15-1517155011-0963.csv,15
./points/f/5-1517154321-0259.csv,5
./points/s/18-1517154357-0571.csv,18
./points/i/8-1517154990-0041.csv,8
./points/g/6-1517154983-0811.csv,6
./points/h/7-1517154435-0876.csv,7
./points/b/1-1517154219-0360.csv,1
./points/y/24-1517154190-0258.csv,24
./points/g/6-1517154324-0208.csv,6
./points/y/24-1517154632-0426.csv,24
./points/c/2-1517153933-0771.csv,2
./points/t/19-1517154803-0590.csv,19
./points/t/19-1517154171-0451.csv,19
./points/l/11-1517154998-0586.csv,11
./points/s/18-1517154357-0559.csv,18
./points/i/8-1517154115-0494.csv,8
./points/j/9-1517154992-0722.csv,9
./points/a/0-1517154944-0683.csv,0
./points/p/15-1517154589-0351.csv,15
./points/a/0-1517154747-0804.csv,0
./points/d/3-1517154225-0428.csv,3
./points/u/20-1517154363-0967.csv,20
./points/s/18-1517153999-0283.csv,18
./points/g/6-1517154233-0862.csv,6
./points/d/3-1517154969-0822.csv,3
./points/o/14-1517154696-0357.csv,14
./points/z/25-1517154925-0461.csv,25
./points/d/3-1517154420-0103.csv,3
./points/q/16-1517154264-0734.csv,16
./points/m/12-1517154782-0742.csv,12
./points/l/11-1517154780-0515.csv,11
./points/z/25-1517154501-0278.csv,25
./points/k/10-1517154995-0590.csv,10
./points/j/9-1517154332-0866.csv,9
./points/u/20-1517155027-0314.csv,20
./points/c/2-1517154754-0440.csv,2
./points/o/14-1517154582-0899.csv,14
./points/j/9-1517154242-0677.csv,9
./points/y/24-1517154922-0508.csv,24
./points/p/15-1517154261-0837.csv,15
./points/a/0-1517153926-0907.csv,0
./points/t/19-1517154003-0742.csv,19
./points/i/8-1517154437-0507.csv,8
./points/h/7-1517154238-0133.csv,7
./points/z/25-1517155069-0341.csv,25
./points/t/19-1517154711-0667.csv,19
./points/n/13-1517154255-0703.csv,13
./points/x/23-1517154814-0634.csv,23
./points/l/11-1517154688-0257.csv,11
./points/b/1-1517154080-0753.csv,1
./points/g/6-1517154675-0807.csv,6
./points/c/2-1517154417-0210.csv,2
./points/r/17-1517155016-0992.csv,17
./points/r/17-1517154797-0222.csv,17
./points/w/22-1517154282-0754.csv,22
./points/w/22-1517154811-0327.csv,22
./points/m/12-1517154574-0215.csv,12
./points/a/0-1517154411-0812.csv,0
./points/c/2-1517153933-0623.csv,2
./points/q/16-1517154155-0022.csv,16
./points/x/23-1517154814-0538.csv,23
./points/h/7-1517154328-0743.csv,7
./points/n/13-1517154343-0220.csv,13
./points/h/7-1517154435-0328.csv,7
./points/i/8-1517154115-0879.csv,8
./points/s/18-1517154475-0071.csv,18
./points/m/12-1517154447-0341.csv,12
./points/u/20-1517154174-0277.csv,20
./points/i/8-1517154330-0321.csv,8
./points/h/7-1517154560-0624.csv,7
./points/u/20-1517154613-0099.csv,20
./points/t/19-1517154273-0275.csv,19
./points/o/14-1517153984-0994.csv,14
./points/i/8-1517153958-0045.csv,8
./points/v/21-1517154905-1009.csv,21
./points/v/21-1517154010-0292.csv,21
./points/s/18-1517154270-0889.csv,18
./points/k/10-1517154995-0925.csv,10
